id,url,coursename,price,priceunit,course_code,duration,start_date,end_date,slot_time,brandname,region
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Nov 04 - 08, 2024",,ONLINE,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Nov 18 - 22, 2024",,11:30 AM - 7:30 PM EST,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Dec 02 - 06, 2024",,8:30 AM - 4:30 PM EST,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Jan 06 - 10, 2025",,8:30 AM - 4:30 PM EST,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Jan 13 - 17, 2025",,11:30 AM - 7:30 PM EST,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Feb 03 - 07, 2025",,11:30 AM - 7:30 PM EST,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Feb 10 - 14, 2025",,8:30 AM - 4:30 PM EST,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Mar 17 - 21, 2025",,11:30 AM - 7:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Mar 24 - 28, 2025",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
94,https://www.globalknowledge.com/us-en/course/182660/acucw1-administering-cisco-unified-communications-workspace-part-1-v125-basic-administration-for-multisite-deployments/,"ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments
Cisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5",4095.0,USD,GK# 100627,5 Days,"Mar 31 - Apr 04, 2025",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
